unit_id,stage,model,scenario,technology,patch_id,logical_owner,submit_account,submit_host,submit_username,assignment_version,attempt,dependencies,expected_output,status,prepared_script_name,resource_profile,cpus_per_task,processes
extreme/BCC-CSM2-MR/ssp126/wind/R01C11,extreme,BCC-CSM2-MR,ssp126,wind,R01C11,乌镇1555,乌镇1555,scnet-wuzhen-1555,ac4wf1cvxp,1,0,BCSD/BCC-CSM2-MR/ssp126/wind/R01C11,<AGG_ROOT>/outputs/extreme/BCC-CSM2-MR/ssp126/R01C11/wind.nc,not_submitted,extp_BCC-CSM2-MR_ssp126_R01C11_wind.sh,resource_v3_extreme_multiprocess,16,16
extreme/BCC-CSM2-MR/ssp126/wind/R01C12,extreme,BCC-CSM2-MR,ssp126,wind,R01C12,乌镇151,乌镇1352,scnet-wuzhen-1352,acm83pfnji,1,0,BCSD/BCC-CSM2-MR/ssp126/wind/R01C12,<AGG_ROOT>/outputs/extreme/BCC-CSM2-MR/ssp126/R01C12/wind.nc,not_submitted,extp_BCC-CSM2-MR_ssp126_R01C12_wind.sh,resource_v3_extreme_multiprocess,16,16
extreme/BCC-CSM2-MR/ssp126/wind/R02C01,extreme,BCC-CSM2-MR,ssp126,wind,R02C01,乌镇1872,乌镇1872,scnet-wuzhen-1872,acjpoxgsdu,1,0,BCSD/BCC-CSM2-MR/ssp126/wind/R02C01,<AGG_ROOT>/outputs/extreme/BCC-CSM2-MR/ssp126/R02C01/wind.nc,not_submitted,extp_BCC-CSM2-MR_ssp126_R02C01_wind.sh,resource_v3_extreme_multiprocess,16,16
extreme/BCC-CSM2-MR/ssp126/wind/R02C02,extreme,BCC-CSM2-MR,ssp126,wind,R02C02,乌镇173,乌镇1500,scnet-wuzhen-1500,acp6varuz3,1,0,BCSD/BCC-CSM2-MR/ssp126/wind/R02C02,<AGG_ROOT>/outputs/extreme/BCC-CSM2-MR/ssp126/R02C02/wind.nc,not_submitted,extp_BCC-CSM2-MR_ssp126_R02C02_wind.sh,resource_v3_extreme_multiprocess,16,16
extreme/BCC-CSM2-MR/ssp126/wind/R02C03,extreme,BCC-CSM2-MR,ssp126,wind,R02C03,乌镇1872,乌镇1872,scnet-wuzhen-1872,acjpoxgsdu,1,0,BCSD/BCC-CSM2-MR/ssp126/wind/R02C03,<AGG_ROOT>/outputs/extreme/BCC-CSM2-MR/ssp126/R02C03/wind.nc,not_submitted,extp_BCC-CSM2-MR_ssp126_R02C03_wind.sh,resource_v3_extreme_multiprocess,16,16
extreme/BCC-CSM2-MR/ssp126/wind/R02C04,extreme,BCC-CSM2-MR,ssp126,wind,R02C04,乌镇173,乌镇1850,scnet-wuzhen-1850,acf9hhlwmd,1,0,BCSD/BCC-CSM2-MR/ssp126/wind/R02C04,<AGG_ROOT>/outputs/extreme/BCC-CSM2-MR/ssp126/R02C04/wind.nc,not_submitted,extp_BCC-CSM2-MR_ssp126_R02C04_wind.sh,resource_v3_extreme_multiprocess,16,16
extreme/BCC-CSM2-MR/ssp126/wind/R02C05,extreme,BCC-CSM2-MR,ssp126,wind,R02C05,乌镇1500,乌镇1500,scnet-wuzhen-1500,acp6varuz3,1,0,BCSD/BCC-CSM2-MR/ssp126/wind/R02C05,<AGG_ROOT>/outputs/extreme/BCC-CSM2-MR/ssp126/R02C05/wind.nc,not_submitted,extp_BCC-CSM2-MR_ssp126_R02C05_wind.sh,resource_v3_extreme_multiprocess,16,16
extreme/BCC-CSM2-MR/ssp126/wind/R02C06,extreme,BCC-CSM2-MR,ssp126,wind,R02C06,乌镇1731,乌镇1731,scnet-wuzhen-1731,ac2k2a2td1,1,0,BCSD/BCC-CSM2-MR/ssp126/wind/R02C06,<AGG_ROOT>/outputs/extreme/BCC-CSM2-MR/ssp126/R02C06/wind.nc,not_submitted,extp_BCC-CSM2-MR_ssp126_R02C06_wind.sh,resource_v3_extreme_multiprocess,16,16
extreme/BCC-CSM2-MR/ssp126/wind/R02C07,extreme,BCC-CSM2-MR,ssp126,wind,R02C07,乌镇1850,乌镇1850,scnet-wuzhen-1850,acf9hhlwmd,1,0,BCSD/BCC-CSM2-MR/ssp126/wind/R02C07,<AGG_ROOT>/outputs/extreme/BCC-CSM2-MR/ssp126/R02C07/wind.nc,not_submitted,extp_BCC-CSM2-MR_ssp126_R02C07_wind.sh,resource_v3_extreme_multiprocess,16,16
extreme/BCC-CSM2-MR/ssp126/wind/R02C08,extreme,BCC-CSM2-MR,ssp126,wind,R02C08,乌镇9359,乌镇1555,scnet-wuzhen-1555,ac4wf1cvxp,1,0,BCSD/BCC-CSM2-MR/ssp126/wind/R02C08,<AGG_ROOT>/outputs/extreme/BCC-CSM2-MR/ssp126/R02C08/wind.nc,not_submitted,extp_BCC-CSM2-MR_ssp126_R02C08_wind.sh,resource_v3_extreme_multiprocess,16,16
